shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern,participating_entities
shape_000595,uniprot.core:Citation_Statement,http://purl.uniprot.org/core/Citation_Statement,uniprot.core:scope,http://purl.uniprot.org/core/scope,Resource,Resource,0,0,0.0,0.0,uniprot.core:Citation_Statement -> uniprot.core:scope -> Resource,
shape_000596,uniprot.core:Journal_Citation,http://purl.uniprot.org/core/Journal_Citation,foaf:primaryTopicOf,http://xmlns.com/foaf/0.1/primaryTopicOf,Resource,Resource,0,0,0.0,0.0,uniprot.core:Journal_Citation -> foaf:primaryTopicOf -> Resource,
shape_000597,uniprot.core:Citation,http://purl.uniprot.org/core/Citation,foaf:primaryTopicOf,http://xmlns.com/foaf/0.1/primaryTopicOf,Resource,Resource,0,0,0.0,0.0,uniprot.core:Citation -> foaf:primaryTopicOf -> Resource,
shape_000598,uniprot.core:Journal_Citation,http://purl.uniprot.org/core/Journal_Citation,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,Resource,0,0,0.0,0.0,uniprot.core:Journal_Citation -> skos:exactMatch -> Resource,
shape_000599,uniprot.core:Citation,http://purl.uniprot.org/core/Citation,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,Resource,0,0,0.0,0.0,uniprot.core:Citation -> skos:exactMatch -> Resource,
shape_000600,uniprot.core:Cellular_Component,http://purl.uniprot.org/core/Cellular_Component,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,Resource,0,0,0.0,0.0,uniprot.core:Cellular_Component -> skos:exactMatch -> Resource,
shape_000601,uniprot.core:Electronic_Citation,http://purl.uniprot.org/core/Electronic_Citation,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,Resource,0,0,0.0,0.0,uniprot.core:Electronic_Citation -> skos:exactMatch -> Resource,
shape_000602,uniprot.core:Patent_Citation,http://purl.uniprot.org/core/Patent_Citation,skos:exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,Resource,0,0,0.0,0.0,uniprot.core:Patent_Citation -> skos:exactMatch -> Resource,
shape_000603,uniprot.core:Journal_Citation,http://purl.uniprot.org/core/Journal_Citation,uniprot.core:authorsIncomplete,http://purl.uniprot.org/core/authorsIncomplete,Resource,Resource,0,0,0.0,0.0,uniprot.core:Journal_Citation -> uniprot.core:authorsIncomplete -> Resource,
shape_000590,uniprot.core:Citation_Statement,http://purl.uniprot.org/core/Citation_Statement,rdf:predicate,http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate,Resource,Resource,0,0,0.0,0.0,uniprot.core:Citation_Statement -> rdf:predicate -> Resource,
shape_000552,uniprot.core:Tissue,http://purl.uniprot.org/core/Tissue,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,uniprot.core:Tissue -> rdfs:label -> Resource,
shape_000553,uniprot.core:Cluster,http://purl.uniprot.org/core/Cluster,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,uniprot.core:Cluster -> rdfs:label -> Resource,
shape_000554,uniprot.core:Sequence,http://purl.uniprot.org/core/Sequence,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,uniprot.core:Sequence -> rdfs:label -> Resource,
shape_000555,uniprot.core:Database,http://purl.uniprot.org/core/Database,uniprot.core:abbreviation,http://purl.uniprot.org/core/abbreviation,Literal,Literal,0,0,0.0,0.0,uniprot.core:Database -> uniprot.core:abbreviation -> Literal,
shape_000556,uniprot.core:Database,http://purl.uniprot.org/core/Database,uniprot.core:linkIsExplicit,http://purl.uniprot.org/core/linkIsExplicit,Literal,Literal,0,0,0.0,0.0,uniprot.core:Database -> uniprot.core:linkIsExplicit -> Literal,
shape_000557,uniprot.core:Database,http://purl.uniprot.org/core/Database,uniprot.core:urlTemplate,http://purl.uniprot.org/core/urlTemplate,Literal,Literal,0,0,0.0,0.0,uniprot.core:Database -> uniprot.core:urlTemplate -> Literal,
shape_000558,uniprot.core:Disease,http://purl.uniprot.org/core/Disease,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Disease -> skos:altLabel -> Literal,
shape_000559,uniprot.core:Enzyme,http://purl.uniprot.org/core/Enzyme,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Enzyme -> skos:altLabel -> Literal,
shape_000560,uniprot.core:Concept,http://purl.uniprot.org/core/Concept,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Concept -> skos:altLabel -> Literal,
shape_000561,uniprot.core:Cellular_Component,http://purl.uniprot.org/core/Cellular_Component,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Cellular_Component -> skos:altLabel -> Literal,
shape_000562,uniprot.core:Topology,http://purl.uniprot.org/core/Topology,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Topology -> skos:altLabel -> Literal,
shape_000563,uniprot.core:Tissue,http://purl.uniprot.org/core/Tissue,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Tissue -> skos:altLabel -> Literal,
shape_000577,bibo:Journal,http://purl.org/ontology/bibo/Journal,bibo:issn,http://purl.org/ontology/bibo/issn,Literal,Literal,0,0,0.0,0.0,bibo:Journal -> bibo:issn -> Literal,
shape_000565,uniprot.core:Disease,http://purl.uniprot.org/core/Disease,skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Disease -> skos:prefLabel -> Literal,
shape_000566,uniprot.core:Enzyme,http://purl.uniprot.org/core/Enzyme,skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Enzyme -> skos:prefLabel -> Literal,
shape_000567,uniprot.core:Cellular_Component,http://purl.uniprot.org/core/Cellular_Component,skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Cellular_Component -> skos:prefLabel -> Literal,
shape_000568,uniprot.core:Orientation,http://purl.uniprot.org/core/Orientation,skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Orientation -> skos:prefLabel -> Literal,
shape_000569,uniprot.core:Topology,http://purl.uniprot.org/core/Topology,skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Topology -> skos:prefLabel -> Literal,
shape_000570,uniprot.core:Concept,http://purl.uniprot.org/core/Concept,skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Resource,Resource,0,0,0.0,0.0,uniprot.core:Concept -> skos:prefLabel -> Resource,
shape_000571,uniprot.core:Tissue,http://purl.uniprot.org/core/Tissue,skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Resource,Resource,0,0,0.0,0.0,uniprot.core:Tissue -> skos:prefLabel -> Resource,
shape_000572,uniprot.core:Gene,http://purl.uniprot.org/core/Gene,skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Resource,Resource,0,0,0.0,0.0,uniprot.core:Gene -> skos:prefLabel -> Resource,
shape_000573,uniprot.core:Enzyme,http://purl.uniprot.org/core/Enzyme,uniprot.core:activity,http://purl.uniprot.org/core/activity,Literal,Literal,0,0,0.0,0.0,uniprot.core:Enzyme -> uniprot.core:activity -> Literal,
shape_000574,uniprot.core:Enzyme,http://purl.uniprot.org/core/Enzyme,uniprot.core:cofactorLabel,http://purl.uniprot.org/core/cofactorLabel,Literal,Literal,0,0,0.0,0.0,uniprot.core:Enzyme -> uniprot.core:cofactorLabel -> Literal,
shape_000575,bibo:Journal,http://purl.org/ontology/bibo/Journal,bibo:coden,http://purl.org/ontology/bibo/coden,Literal,Literal,0,0,0.0,0.0,bibo:Journal -> bibo:coden -> Literal,
shape_000576,bibo:Journal,http://purl.org/ontology/bibo/Journal,bibo:eissn,http://purl.org/ontology/bibo/eissn,Literal,Literal,0,0,0.0,0.0,bibo:Journal -> bibo:eissn -> Literal,
shape_000551,uniprot.core:Strain,http://purl.uniprot.org/core/Strain,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,Resource,Resource,0,0,0.0,0.0,uniprot.core:Strain -> rdfs:label -> Resource,
shape_000564,uniprot.core:Gene,http://purl.uniprot.org/core/Gene,skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Resource,Resource,0,0,0.0,0.0,uniprot.core:Gene -> skos:altLabel -> Resource,
shape_000633,uniprot.core:Pathway_Annotation,http://purl.uniprot.org/core/Pathway_Annotation,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Pathway_Annotation -> rdfs:seeAlso -> Resource,
shape_000634,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:intersectionOf,http://www.w3.org/2002/07/owl#intersectionOf,Resource,Resource,2,0,0.0,0.0,owl:Class -> owl:intersectionOf -> Resource,0.0
shape_000635,owl:Class,http://www.w3.org/2002/07/owl#Class,owl:unionOf,http://www.w3.org/2002/07/owl#unionOf,Resource,Resource,2,0,0.0,0.0,owl:Class -> owl:unionOf -> Resource,0.0
shape_000636,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:onDataRange,http://www.w3.org/2002/07/owl#onDataRange,Resource,Resource,0,0,0.0,0.0,owl:Restriction -> owl:onDataRange -> Resource,
shape_000637,owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:qualifiedCardinality,http://www.w3.org/2002/07/owl#qualifiedCardinality,Resource,Resource,0,0,0.0,0.0,owl:Restriction -> owl:qualifiedCardinality -> Resource,
shape_000638,uniprot.core:Disease,http://purl.uniprot.org/core/Disease,uniprot.core:mnemonic,http://purl.uniprot.org/core/mnemonic,Resource,Resource,0,0,0.0,0.0,uniprot.core:Disease -> uniprot.core:mnemonic -> Resource,
shape_000639,uniprot.core:Taxon,http://purl.uniprot.org/core/Taxon,uniprot.core:mnemonic,http://purl.uniprot.org/core/mnemonic,Resource,Resource,0,0,0.0,0.0,uniprot.core:Taxon -> uniprot.core:mnemonic -> Resource,
shape_000640,uniprot.core:Member_Of_Redudant_Proteome,http://purl.uniprot.org/core/Member_Of_Redudant_Proteome,uniprot.core:mnemonic,http://purl.uniprot.org/core/mnemonic,Resource,Resource,0,0,0.0,0.0,uniprot.core:Member_Of_Redudant_Proteome -> uniprot.core:mnemonic -> Resource,
shape_000641,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,uniprot.core:mnemonic,http://purl.uniprot.org/core/mnemonic,Resource,Resource,0,0,0.0,0.0,uniprot.core:Protein -> uniprot.core:mnemonic -> Resource,
shape_000642,uniprot.core:Enzyme,http://purl.uniprot.org/core/Enzyme,uniprot.core:obsolete,http://purl.uniprot.org/core/obsolete,Resource,Resource,0,0,0.0,0.0,uniprot.core:Enzyme -> uniprot.core:obsolete -> Resource,
shape_000643,uniprot.core:Taxon,http://purl.uniprot.org/core/Taxon,uniprot.core:obsolete,http://purl.uniprot.org/core/obsolete,Resource,Resource,0,0,0.0,0.0,uniprot.core:Taxon -> uniprot.core:obsolete -> Resource,
shape_000644,uniprot.core:Member_Of_Redudant_Proteome,http://purl.uniprot.org/core/Member_Of_Redudant_Proteome,uniprot.core:obsolete,http://purl.uniprot.org/core/obsolete,Resource,Resource,0,0,0.0,0.0,uniprot.core:Member_Of_Redudant_Proteome -> uniprot.core:obsolete -> Resource,
shape_000645,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,uniprot.core:obsolete,http://purl.uniprot.org/core/obsolete,Resource,Resource,0,0,0.0,0.0,uniprot.core:Protein -> uniprot.core:obsolete -> Resource,
shape_000604,owl:AllDifferent,http://www.w3.org/2002/07/owl#AllDifferent,owl:distinctMembers,http://www.w3.org/2002/07/owl#distinctMembers,Resource,Resource,0,0,0.0,0.0,owl:AllDifferent -> owl:distinctMembers -> Resource,
shape_000647,owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,Resource,Resource,2,0,0.0,0.0,owl:Class -> oboinowl:hasExactSynonym -> Resource,0.0
shape_000648,owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,Resource,Resource,2,0,0.0,0.0,owl:Class -> oboinowl:hasRelatedSynonym -> Resource,0.0
shape_000649,uniprot.core:Cellular_Component,http://purl.uniprot.org/core/Cellular_Component,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,Resource,Resource,0,0,0.0,0.0,uniprot.core:Cellular_Component -> owl:sameAs -> Resource,
shape_000650,uniprot.core:Topology,http://purl.uniprot.org/core/Topology,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,Resource,Resource,0,0,0.0,0.0,uniprot.core:Topology -> owl:sameAs -> Resource,
shape_000651,bibo:Journal,http://purl.org/ontology/bibo/Journal,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,Resource,Resource,0,0,0.0,0.0,bibo:Journal -> owl:sameAs -> Resource,
shape_000652,uniprot.core:Participant,http://purl.uniprot.org/core/Participant,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,uniprot.core:External_Sequence,http://purl.uniprot.org/core/External_Sequence,0,0,0.0,0.0,uniprot.core:Participant -> owl:sameAs -> uniprot.core:External_Sequence,
shape_000653,uniprot.core:Participant,http://purl.uniprot.org/core/Participant,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,uniprot.core:Modified_Sequence,http://purl.uniprot.org/core/Modified_Sequence,0,0,0.0,0.0,uniprot.core:Participant -> owl:sameAs -> uniprot.core:Modified_Sequence,
shape_000654,uniprot.core:Participant,http://purl.uniprot.org/core/Participant,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,0,0,0.0,0.0,uniprot.core:Participant -> owl:sameAs -> uniprot.core:Protein,
shape_000655,uniprot.core:Participant,http://purl.uniprot.org/core/Participant,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,uniprot.core:Simple_Sequence,http://purl.uniprot.org/core/Simple_Sequence,0,0,0.0,0.0,uniprot.core:Participant -> owl:sameAs -> uniprot.core:Simple_Sequence,
shape_000656,uniprot.core:Proteome,http://purl.uniprot.org/core/Proteome,uniprot.core:organism,http://purl.uniprot.org/core/organism,Resource,Resource,0,0,0.0,0.0,uniprot.core:Proteome -> uniprot.core:organism -> Resource,
shape_000657,uniprot.core:Reference_Proteome,http://purl.uniprot.org/core/Reference_Proteome,uniprot.core:organism,http://purl.uniprot.org/core/organism,Resource,Resource,0,0,0.0,0.0,uniprot.core:Reference_Proteome -> uniprot.core:organism -> Resource,
shape_000658,uniprot.core:Representative_Proteome,http://purl.uniprot.org/core/Representative_Proteome,uniprot.core:organism,http://purl.uniprot.org/core/organism,Resource,Resource,0,0,0.0,0.0,uniprot.core:Representative_Proteome -> uniprot.core:organism -> Resource,
shape_000659,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,uniprot.core:organism,http://purl.uniprot.org/core/organism,Resource,Resource,0,0,0.0,0.0,uniprot.core:Protein -> uniprot.core:organism -> Resource,
shape_000646,owl:Class,http://www.w3.org/2002/07/owl#Class,iao:0000115,http://purl.obolibrary.org/obo/IAO_0000115,Resource,Resource,2,0,0.0,0.0,owl:Class -> iao:0000115 -> Resource,0.0
shape_000605,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,owl:AnnotationProperty -> rdfs:seeAlso -> Resource,
shape_000606,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,2,0,0.0,0.0,owl:Class -> rdfs:seeAlso -> Resource,0.0
shape_000607,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,47,0,0.0,0.0,owl:DatatypeProperty -> rdfs:seeAlso -> Resource,0.0
shape_000608,owl:FunctionalProperty,http://www.w3.org/2002/07/owl#FunctionalProperty,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,owl:FunctionalProperty -> rdfs:seeAlso -> Resource,
shape_000609,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,22,0,0.0,0.0,owl:ObjectProperty -> rdfs:seeAlso -> Resource,0.0
shape_000610,owl:Thing,http://www.w3.org/2002/07/owl#Thing,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,owl:Thing -> rdfs:seeAlso -> Resource,
shape_000611,uniprot.core:Mass_Measurement_Method,http://purl.uniprot.org/core/Mass_Measurement_Method,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Mass_Measurement_Method -> rdfs:seeAlso -> Resource,
shape_000612,uniprot.core:Structure_Determination_Method,http://purl.uniprot.org/core/Structure_Determination_Method,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Structure_Determination_Method -> rdfs:seeAlso -> Resource,
shape_000613,uniprot.core:Database,http://purl.uniprot.org/core/Database,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Database -> rdfs:seeAlso -> Resource,
shape_000614,uniprot.core:Disease,http://purl.uniprot.org/core/Disease,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Disease -> rdfs:seeAlso -> Resource,
shape_000615,uniprot.core:Concept,http://purl.uniprot.org/core/Concept,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Concept -> rdfs:seeAlso -> Resource,
shape_000616,uniprot.core:Cellular_Component,http://purl.uniprot.org/core/Cellular_Component,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Cellular_Component -> rdfs:seeAlso -> Resource,
shape_000617,uniprot.core:Proteome_Component,http://purl.uniprot.org/core/Proteome_Component,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Proteome_Component -> rdfs:seeAlso -> Resource,
shape_000632,uniprot.core:Natural_Variant_Annotation,http://purl.uniprot.org/core/Natural_Variant_Annotation,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Natural_Variant_Annotation -> rdfs:seeAlso -> Resource,
shape_000619,uniprot.core:Tissue,http://purl.uniprot.org/core/Tissue,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,uniprot.core:Tissue -> rdfs:seeAlso -> Resource,
shape_000620,owl:NamedIndividual,http://www.w3.org/2002/07/owl#NamedIndividual,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,owl:NamedIndividual -> rdfs:seeAlso -> Resource,
shape_000621,bibo:Journal,http://purl.org/ontology/bibo/Journal,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,Resource,Resource,0,0,0.0,0.0,bibo:Journal -> rdfs:seeAlso -> Resource,
shape_000622,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:Nucleotide_Resource,http://purl.uniprot.org/core/Nucleotide_Resource,0,0,0.0,0.0,uniprot.core:Protein -> rdfs:seeAlso -> uniprot.core:Nucleotide_Resource,
shape_000623,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:Resource,http://purl.uniprot.org/core/Resource,0,0,0.0,0.0,uniprot.core:Protein -> rdfs:seeAlso -> uniprot.core:Resource,
shape_000624,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:Structure_Resource,http://purl.uniprot.org/core/Structure_Resource,0,0,0.0,0.0,uniprot.core:Protein -> rdfs:seeAlso -> uniprot.core:Structure_Resource,
shape_000625,uniprot.core:Protein,http://purl.uniprot.org/core/Protein,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:Transcript_Resource,http://purl.uniprot.org/core/Transcript_Resource,0,0,0.0,0.0,uniprot.core:Protein -> rdfs:seeAlso -> uniprot.core:Transcript_Resource,
shape_000626,uniprot.core:Resource,http://purl.uniprot.org/core/Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:External_Sequence,http://purl.uniprot.org/core/External_Sequence,0,0,0.0,0.0,uniprot.core:Resource -> rdfs:seeAlso -> uniprot.core:External_Sequence,
shape_000627,uniprot.core:Resource,http://purl.uniprot.org/core/Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:Modified_Sequence,http://purl.uniprot.org/core/Modified_Sequence,0,0,0.0,0.0,uniprot.core:Resource -> rdfs:seeAlso -> uniprot.core:Modified_Sequence,
shape_000628,uniprot.core:Resource,http://purl.uniprot.org/core/Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:Simple_Sequence,http://purl.uniprot.org/core/Simple_Sequence,0,0,0.0,0.0,uniprot.core:Resource -> rdfs:seeAlso -> uniprot.core:Simple_Sequence,
shape_000629,uniprot.core:Transcript_Resource,http://purl.uniprot.org/core/Transcript_Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:External_Sequence,http://purl.uniprot.org/core/External_Sequence,0,0,0.0,0.0,uniprot.core:Transcript_Resource -> rdfs:seeAlso -> uniprot.core:External_Sequence,
shape_000630,uniprot.core:Transcript_Resource,http://purl.uniprot.org/core/Transcript_Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:Modified_Sequence,http://purl.uniprot.org/core/Modified_Sequence,0,0,0.0,0.0,uniprot.core:Transcript_Resource -> rdfs:seeAlso -> uniprot.core:Modified_Sequence,
shape_000631,uniprot.core:Transcript_Resource,http://purl.uniprot.org/core/Transcript_Resource,rdfs:seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,uniprot.core:Simple_Sequence,http://purl.uniprot.org/core/Simple_Sequence,0,0,0.0,0.0,uniprot.core:Transcript_Resource -> rdfs:seeAlso -> uniprot.core:Simple_Sequence,
